owner_name	date	shares_held	change_in_shares	change_%	value_X1000
RHS FINANCIAL, LLC	06/30/2021	85,800	85,800	New	$1,872
LONGITUDE (CAYMAN) LTD.	03/31/2021	83,750	83,750	New	$1,827
AXS INVESTMENTS LLC	06/30/2021	83,732	83,732	New	$1,827
JANNEY MONTGOMERY SCOTT LLC	06/30/2021	83,564	-3,927	-4.488%	$1,823
MERCER GLOBAL ADVISORS INC /ADV	03/31/2021	82,559	55,937	210.116%	$1,801
ACORN FINANCIAL ADVISORY SERVICES INC /ADV	06/30/2021	82,232	-1,864	-2.217%	$1,794
BANCO BILBAO VIZCAYA ARGENTARIA, S.A.	06/30/2021	81,034	26,699	49.138%	$1,768
ATONRA PARTNERS	03/31/2021	79,370	79,370	New	$1,732
RATHBONE BROTHERS PLC	06/30/2021	78,675	5,205	7.085%	$1,717
CANTON HATHAWAY, LLC	06/30/2021	77,650	77,250	19312.5%	$1,694
BLAIR WILLIAM & CO/IL	03/31/2021	76,604	25,915	51.125%	$1,671
KG&L CAPITAL MANAGEMENT,LLC	06/30/2021	76,504	14,372	23.131%	$1,669
TRUIST FINANCIAL CORP	03/31/2021	75,713	770	1.027%	$1,652
LOS ANGELES CAPITAL MANAGEMENT LLC	06/30/2021	75,356	75,356	New	$1,644
DFPG INVESTMENTS, LLC	06/30/2021	74,171	23,557	46.542%	$1,618
TRAYNOR CAPITAL MANAGEMENT, INC.	06/30/2021	73,722	30,733	71.49%	$1,609
ROBECO INSTITUTIONAL ASSET MANAGEMENT B.V.	06/30/2021	71,293	71,293	New	$1,556
IFM INVESTORS PTY LTD	06/30/2021	70,710	70,710	New	$1,543
GLENMEDE TRUST CO NA	03/31/2021	70,061	53,427	321.192%	$1,529
IEQ CAPITAL, LLC	06/30/2021	69,813	-68,551	-49.544%	$1,523
EQUITABLE HOLDINGS, INC.	03/31/2021	69,478	38,266	122.6%	$1,516
ALPINE GLOBAL MANAGEMENT, LLC	03/31/2021	68,398	68,398	New	$1,492
PAULSON WEALTH MANAGEMENT INC.	06/30/2021	67,802	0	0%	$1,479
UBS ASSET MANAGEMENT AMERICAS INC	03/31/2021	67,427	7,493	12.502%	$1,471
STEPHENS INC /AR/	03/31/2021	67,405	67,405	New	$1,471
TEACHER RETIREMENT SYSTEM OF TEXAS	06/30/2021	67,382	67,382	New	$1,470
ASSET MANAGEMENT CORP /IL/ /ADV	06/30/2021	66,900	20,500	44.181%	$1,460
GREENWICH WEALTH MANAGEMENT LLC	06/30/2021	65,422	65,422	New	$1,428
MANCHESTER FINANCIAL INC	06/30/2021	64,374	397	0.621%	$1,405
CIBC ASSET MANAGEMENT INC	03/31/2021	64,135	64,135	New	$1,399
AVESTAR CAPITAL, LLC	06/30/2021	63,021	36,075	133.879%	$1,375
HOLLENCREST CAPITAL MANAGEMENT	06/30/2021	61,626	5,890	10.568%	$1,345
BRAND ASSET MANAGEMENT GROUP, INC.	03/31/2021	61,238	60,738	12147.6%	$1,336
LIDO ADVISORS, LLC	03/31/2021	60,571	-62,067	-50.61%	$1,322
BLUE SQUARE ASSET MANAGEMENT, LLC	06/30/2021	60,558	33,799	126.309%	$1,321
JACOBS & CO/CA	06/30/2021	60,150	20,000	49.813%	$1,312
AXEL CAPITAL MANAGEMENT, LLC	06/30/2021	60,000	60,000	New	$1,309
BEECH HILL ADVISORS, INC.	06/30/2021	59,186	59,186	New	$1,291
ARETE WEALTH ADVISORS, LLC	03/31/2021	58,269	-39	-0.067%	$1,271
DERBEND ASSET MANAGEMENT	06/30/2021	57,701	57,701	New	$1,259
CUBIST SYSTEMATIC STRATEGIES, LLC	03/31/2021	57,118	-22,624	-28.371%	$1,246
SIGMA PLANNING CORP	03/31/2021	56,970	56,970	New	$1,243
SAGE RHINO CAPITAL LLC	06/30/2021	55,379	2,323	4.378%	$1,208
KBC GROUP NV	03/31/2021	53,917	-23,420	-30.283%	$1,176
FRAGASSO GROUP INC.	06/30/2021	53,840	8,472	18.674%	$1,175
GREAT VALLEY ADVISOR GROUP, INC.	06/30/2021	53,566	5,391	11.19%	$1,169
BILTMORE CAPITAL ADVISORS LLC	06/30/2021	53,438	12,378	30.146%	$1,166
COMPAGNIE LOMBARD ODIER SCMA	06/30/2021	51,400	7,500	17.084%	$1,122
TOWNSQUARE CAPITAL LLC	03/31/2021	50,655	50,655	New	$1,105
BANQUE CANTONALE VAUDOISE	03/31/2021	50,483	36,543	262.145%	$1,102
CIBC WORLD MARKETS INC.	03/31/2021	50,415	23,349	86.267%	$1,100
683 CAPITAL MANAGEMENT, LLC	03/31/2021	50,000	50,000	New	$1,091
DEKABANK DEUTSCHE GIROZENTRALE	06/30/2021	49,812	-2,588	-4.939%	$1,087
DNB ASSET MANAGEMENT AS	06/30/2021	49,559	49,559	New	$1,081
UNITED CAPITAL FINANCIAL ADVISERS, LLC	03/31/2021	49,538	27,754	127.405%	$1,081
MIRADOR CAPITAL PARTNERS LP	06/30/2021	49,183	32,821	200.593%	$1,073
HIGHPOINT ADVISOR GROUP LLC	06/30/2021	49,048	1,612	3.398%	$1,070
B. RILEY WEALTH MANAGEMENT, INC.	03/31/2021	48,619	-5,555	-10.254%	$1,061
SG AMERICAS SECURITIES, LLC	03/31/2021	47,900	976	2.08%	$1,045
DYMON ASIA CAPITAL (SINGAPORE) PTE. LTD.	03/31/2021	47,326	47,326	New	$1,033
CIRCLE WEALTH MANAGEMENT, LLC	03/31/2021	46,720	46,720	New	$1,019
SQUAREPOINT OPS LLC	03/31/2021	46,519	46,519	New	$1,015
IBM RETIREMENT FUND	06/30/2021	45,857	45,857	New	$1,001
MOSELEY INVESTMENT MANAGEMENT INC	03/31/2021	45,654	45,654	New	$996
WEALTH ARCHITECTS, LLC	03/31/2021	45,240	45,240	New	$987
CALIBER WEALTH MANAGEMENT, LLC	06/30/2021	44,749	3,804	9.291%	$976
CANNELL PETER B & CO INC	03/31/2021	44,562	24,772	125.174%	$972
SCIENCAST MANAGEMENT LP	06/30/2021	43,607	43,607	New	$952
GREYLIN INVESTMENT MANGEMENT INC	06/30/2021	42,994	-57,186	-57.083%	$938
PARAMETRIC PORTFOLIO ASSOCIATES LLC	03/31/2021	42,915	-32,226	-42.887%	$936
OCEAN CAPITAL MANAGEMENT, LLC	06/30/2021	42,701	12,557	41.657%	$932
WINFIELD ASSOCIATES, INC.	03/31/2021	42,575	700	1.672%	$929
XR SECURITIES LLC	06/30/2021	42,510	-8,707	-17%	$928
PROCYON PRIVATE WEALTH PARTNERS, LLC	06/30/2021	42,501	8,008	23.216%	$927
GWM ADVISORS LLC	06/30/2021	42,183	27,085	179.395%	$920
HOWARD WEALTH MANAGEMENT, LLC	06/30/2021	42,133	0	0%	$919
RETIREMENT GROUP, LLC	03/31/2021	41,365	4,024	10.776%	$903
PRIVATE ASSET MANAGEMENT INC	06/30/2021	41,292	30,611	286.593%	$901
TBH GLOBAL ASSET MANAGEMENT, LLC	06/30/2021	40,972	3,690	9.898%	$894
CETERA INVESTMENT ADVISERS	03/31/2021	40,838	24,708	153.18%	$891
SG3 MANAGEMENT, LLC	03/31/2021	40,000	40,000	New	$873
REHMANN CAPITAL ADVISORY GROUP	03/31/2021	39,514	39,514	New	$862
INTERNATIONAL ASSETS INVESTMENT MANAGEMENT, LLC	06/30/2021	39,463	-11,737	-22.924%	$861
CITIZENS FINANCIAL GROUP INC/RI	06/30/2021	39,008	39,008	New	$851
TEAMWORK FINANCIAL ADVISORS, LLC	06/30/2021	38,276	-14,010	-26.795%	$835
WBH ADVISORY INC	06/30/2021	38,250	1,000	2.685%	$835
TRIUMPH CAPITAL MANAGEMENT	06/30/2021	38,098	38,098	New	$831
CETERA ADVISOR NETWORKS LLC	03/31/2021	37,858	17,629	87.147%	$826
FINEMARK NATIONAL BANK & TRUST	03/31/2021	37,125	37,125	New	$810
FIFTH THIRD BANCORP	06/30/2021	37,075	-1,000	-2.626%	$809
PLATFORM TECHNOLOGY PARTNERS	06/30/2021	36,854	36,854	New	$804
ALPHA CUBED INVESTMENTS, LLC	06/30/2021	36,640	36,640	New	$799
LINCOLN NATIONAL CORP	03/31/2021	36,333	19,206	112.139%	$793
LCM CAPITAL MANAGEMENT INC	06/30/2021	36,196	-2,758	-7.08%	$790
ROTHSCHILD INVESTMENT CORP /IL	06/30/2021	35,865	16,345	83.735%	$783
PINNACLE ASSOCIATES LTD	06/30/2021	35,740	9,575	36.595%	$780
OSTERWEIS CAPITAL MANAGEMENT INC	03/31/2021	35,144	35,144	New	$767
KOSS-OLINGER CONSULTING, LLC	03/31/2021	35,032	35,032	New	$764
MONETTA FINANCIAL SERVICES INC	03/31/2021	35,000	35,000	New	$764
CAPITAL INVESTMENT COUNSEL, INC	06/30/2021	34,670	10,220	41.8%	$756
SFMG, LLC	06/30/2021	34,356	8,214	31.421%	$750
MORSE ASSET MANAGEMENT, INC	03/31/2021	33,625	16,740	99.141%	$734
NEXT FINANCIAL HOLDINGS	06/30/2021	33,459	7,485	28.817%	$730
SPIRE WEALTH MANAGEMENT	06/30/2021	33,426	-25,448	-43.225%	$729
MUTUAL ADVISORS, LLC	03/31/2021	33,414	16,813	101.277%	$729
MEANS INVESTMENT CO., INC.	03/31/2021	33,031	21,695	191.381%	$721
FORMULA GROWTH LTD	03/31/2021	32,916	-10,000	-23.301%	$718
SCOTIA CAPITAL INC.	03/31/2021	32,782	22,124	207.581%	$715
BEL AIR INVESTMENT ADVISORS LLC	03/31/2021	32,552	32,552	New	$710
BAKER AVENUE ASSET MANAGEMENT, LP	03/31/2021	32,415	9,310	40.294%	$707
EMFO, LLC	06/30/2021	31,990	31,990	New	$698
ALLRED CAPITAL MANAGEMENT, LLC	06/30/2021	31,935	1,295	4.227%	$697
BIGSUR WEALTH MANAGEMENT LLC	06/30/2021	31,700	-6,000	-15.915%	$692
AVIDIAN WEALTH SOLUTIONS, LLC	03/31/2021	31,686	31,686	New	$691
GARDE CAPITAL, INC.	03/31/2021	31,530	-2,917	-8.468%	$688
VERITION FUND MANAGEMENT LLC	03/31/2021	31,348	19,681	168.689%	$684
MID ATLANTIC FINANCIAL MANAGEMENT INC/ADV	03/31/2021	31,336	31,336	New	$684
WALTER & KEENAN FINANCIAL CONSULTING CO /MI/ /ADV	06/30/2021	31,039	3,889	14.324%	$677
MARINER, LLC	03/31/2021	30,903	14,344	86.624%	$674
MURPHY CAPITAL MANAGEMENT INC	06/30/2021	30,757	0	0%	$671
RUSSELL INVESTMENTS GROUP, LTD.	06/30/2021	30,730	30,730	New	$671
FOCUSED WEALTH MANAGEMENT, INC	06/30/2021	30,693	17,463	131.995%	$670
THOROUGHBRED FINANCIAL SERVICES, LLC	06/30/2021	30,619	10,471	51.97%	$668
NORTHWESTERN MUTUAL WEALTH MANAGEMENT CO	03/31/2021	30,255	-4,937	-14.029%	$660
CLARAPHI ADVISORY NETWORK, LLC	03/31/2021	30,214	30,214	New	$659
HBK SORCE ADVISORY LLC	03/31/2021	30,110	30,110	New	$657
MANUFACTURERS LIFE INSURANCE COMPANY, THE	03/31/2021	30,105	0	0%	$657
INDEPENDENT ADVISOR ALLIANCE	03/31/2021	29,967	18,855	169.681%	$654
ZUCKERMAN INVESTMENT GROUP, LLC	03/31/2021	29,670	8,820	42.302%	$647
BLUESTEIN R H & CO	03/31/2021	29,500	0	0%	$644
CPWM, LLC	03/31/2021	29,045	15,832	119.821%	$634
SUMITOMO MITSUI DS ASSET MANAGEMENT COMPANY, LTD	06/30/2021	28,735	28,735	New	$627
HARBOR INVESTMENT ADVISORY, LLC	06/30/2021	28,502	500	1.786%	$622
NICOLET ADVISORY SERVICES, LLC	03/31/2021	28,101	28,101	New	$613
PRICE MICHAEL F	03/31/2021	27,769	-6,739	-19.529%	$606
FOUNDATIONS INVESTMENT ADVISORS, LLC	06/30/2021	27,630	27,630	New	$603
GERBER KAWASAKI WEALTH & INVESTMENT MANAGEMENT	03/31/2021	27,625	27,625	New	$603
GLASSMAN WEALTH SERVICES	06/30/2021	27,416	-19,659	-41.761%	$598
NORDEA INVESTMENT MANAGEMENT AB	06/30/2021	27,284	27,284	New	$595
KEY FINANCIAL INC	06/30/2021	27,136	108	0.4%	$592
GAME PLAN FINANCIAL ADVISORS, LLC	06/30/2021	27,134	2,000	7.957%	$592
RESOLUTE ADVISORS LLC	03/31/2021	27,104	21,338	370.066%	$591
CARNEGIE CAPITAL ASSET MANAGEMENT, LLC	06/30/2021	26,590	2,500	10.378%	$580
